"filename"	"Name"	"Code_Network"	"Description"	"LeadPartnerCountry"	"Start"	"Continent"	"Region"	"NbCities"	"Phase"	"Type"	"LocGovType_HorizontalPwrRelation"	"LocGovType_VerticalPwrRelation"	"LocGovType_PoliticalLeadership"	"LocGovType_MunicipalAdmin"	"CodeCity"	"geonameId"	"asciiName"	"adminLevel"	"countryCode"	"population"	"CODE_LAU"	"NAME_LAU"	"PopAdmin06"	"PopAdmin11"	"ID_UMZ"	"NAME_UMZ"	"POPUMZ11"	"ID_FUA"	"NAME_FUA"	"POPFUA06"	"Governance"	"Economy"	"Inclusion"	"Environment"	"Integrated Urban Development"	"ClassePop"	"SizeClassURBACT"
"TexturbactNet_1"	"2nd Chance"	"1"	"Activation of vacant buildings and building complexes for a sustainable urban development"	"IT"	2015	"Europe"	"Southern Europe"	11	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"IT23"	"3172394"	"Naples"	"seat of a first-order admin. division"	"IT"	"959470"	"IT063049"	"Napoli"	964133.290145843	954947.532346521	"2430"	"Napoli"	2435950	"IT003L2"	"Napoli"	3554343	1	0	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_5"	"AGRI -URBAN"	"5"	"The local food in urban forks"	"ES"	2015	"Europe"	"Southern Europe"	11	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"ES6"	"2521415"	"Baena"	"seat of other admin. division"	"ES"	"20915"	"ES14007"	"Baena"	20518.4792089655	19863.1232440228	"Outside"	"Outside"	NA	"Outside"	"Outside"	NA	0	1	0	1	0	"4.Small City"	"3. Less than 50 000"
"TexturbactNet_6"	"ARRIVAL CITIES"	"6"	"Managing global flows at local level"	"PT"	2015	"Europe"	"Southern Europe"	10	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"PT2"	"2271772"	"Amadora"	"populated place"	"PT"	"178858"	"PT1115"	"Amadora"	172508.790932132	174921.434059462	"3224"	"Lisboa // Sintra"	1851170	"PT001L2"	"Lisboa"	2785724	0	0	1	0	0	"2.Large City"	"2.Between 50 000 and 250 000"
"TexturbactNet_7"	"BoostInno"	"7"	"Boosting Social Innovation"	"PL"	2015	"Europe"	"Eastern Europe"	10	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"East-Central European Group"	"Executive Mayors"	"Central Eastern European"	"PL7"	"3099434"	"Gdansk"	"seat of a first-order admin. division"	"PL"	"461865"	"PL1004221436101"	"Gdańsk"	449792.580802907	453961.174450335	"2931"	"Gdansk // Gdynia"	794554	"PL006L2"	"Gdansk"	1083031	1	1	0	0	1	"2.Large City"	"1. More than 250 000"
"TexturbactNet_10"	"CHANGE!"	"10"	"Social design of public services"	"NL"	2015	"Europe"	"Western Europe"	9	"Urbact III"	"Action Planning"	"Collective Form"	"North-Middle European Group"	"Collegial Leaders"	"Nordic"	"NL7"	"2756253"	"Eindhoven"	"populated place"	"NL"	"209620"	"NLGM0772"	"Eindhoven"	209891.961655151	216635.844119043	"2736"	"Eindhoven"	356198	"NL005L2"	"Eindhoven"	677541	1	1	1	0	0	"2.Large City"	"2.Between 50 000 and 250 000"
"TexturbactNet_83"	"CIA 7"	"83"	"New European Tools for Urban Development"	"FR"	2016	"Europe"	"Western Europe"	8	"Urbact III"	"Implementation"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"FR16"	"2998324"	"Lille"	"seat of a first-order admin. division"	"FR"	"228328"	"FR59350"	"Lille"	226657.951358961	228107.135691815	"1898"	"Lille // Roubaix // Tourcoing"	1388300	"FR009L2"	"Lille"	1331985	1	0	0	0	1	"2.Large City"	"2.Between 50 000 and 250 000"
"TexturbactNet_11"	"CityCentreDoctor"	"11"	"An URBACT APN with a focus on revitalising city centres"	"IT"	2015	"Europe"	"Southern Europe"	9	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"IT45"	"3168429"	"San Dona di Piave"	"seat of other admin. division"	"IT"	"32819"	"IT027033"	"San Donà di Piave"	40590.2625656183	42376.218773282	"2534"	"San Dona di Piave"	51630.9	"Outside"	"Outside"	NA	0	1	0	0	1	"4.Small City"	"3. Less than 50 000"
"TexturbactNet_13"	"CityMobilNet"	"13"	"Network for co-productive development of sustainable urban mobility plans empowering cities to create joint visions, targets and sets of measures to manage their future city progress"	"DE"	2015	"Europe"	"Western Europe"	11	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"North-Middle European Group"	"Executive Mayors"	"Continental European Federal"	"DE4"	"2949186"	"Bielefeld"	"seat of other admin. division"	"DE"	"331906"	"DE05711000"	"Bielefeld, Stadt"	325334.504869061	325349.398348725	"376"	"Bielefeld"	339383	"DE017L0"	"Bielefeld"	325280	0	0	0	1	1	"2.Large City"	"1. More than 250 000"
"TexturbactNet_84"	"CREATIVE SPIRITS"	"84"	"Boosting creative entrepreneurship through creative-based urban strategies"	"HU"	2016	"Europe"	"Eastern Europe"	9	"Urbact III"	"Implementation"	"Strong Mayor Form"	"East-Central European Group"	"Executive Mayors"	"Central Eastern European"	"HU14"	"3054643"	"Budapest"	"capital of a political entity"	"HU"	"1741041"	"HU-BU"	"Budapest"	1693425.65314213	1730696.6718231	"1999"	"Budapest"	2057700	"HU001L2"	"Budapest"	2809709	1	1	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_29"	"Freight TAILS"	"29"	"Delivering Tailored Approaches for Innovative Logisitcs Solutions
Economy ECONOMY"	"UK"	2015	"Europe"	"Northern Europe"	10	"Urbact III"	"Action Planning"	"Collective Form"	"AngloType"	"Collegial Leaders"	"Anglo Saxon"	"UK17"	"2643743"	"London"	"capital of a political entity"	"GB"	"7556900"	"E34004707"	"Greater London BUA"	8313042.53789679	9000768.90844429	"3780"	"Great London"	9423910	"UK001L2"	"London"	11256669	0	1	0	1	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_31"	"Gen-Y City"	"31"	"Developing, attracting & retaining Gen-Y 'creative tech' talent in European cities."	"PL"	2015	"Europe"	"Eastern Europe"	12	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"East-Central European Group"	"Executive Mayors"	"Central Eastern European"	"PL18"	"3088171"	"Poznan"	"seat of a first-order admin. division"	"PL"	"570352"	"PL1002301626401"	"Poznań"	569722.800772001	561201.207353788	"3076"	"Poznan"	647305	"PL005L2"	"Poznan"	924976	0	1	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_36"	"In Focus"	"36"	"Smart Specialisation at City Level
"	"ES"	2015	"Europe"	"Southern Europe"	10	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"ES9"	"3128026"	"Bilbao"	"seat of a second-order admin. division"	"ES"	"354860"	"ES48020"	"Bilbao"	349206.315810915	348314.369443183	"1208"	"Bilbao"	834872	"ES019L2"	"Bilbao"	1014372	0	1	0	0	0	"2.Large City"	"1. More than 250 000"
"TexturbactNet_85"	"INT-HERIT"	"85"	"Innovative Heritage Management"	"ES"	2016	"Europe"	"Southern Europe"	9	"Urbact III"	"Implementation"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"ES6"	"2521415"	"Baena"	"seat of other admin. division"	"ES"	"20915"	"ES14007"	"Baena"	20518.4792089655	19863.1232440228	"Outside"	"Outside"	NA	"Outside"	"Outside"	NA	0	1	0	0	1	"4.Small City"	"3. Less than 50 000"
"TexturbactNet_37"	"INTERACTIVE CITIES"	"37"	"Digital, social media and user-generated content improving urban governance"	"IT"	2015	"Europe"	"Southern Europe"	10	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"IT19"	"3176219"	"Genoa"	"seat of a first-order admin. division"	"IT"	"580223"	"IT010025"	"Genova"	604997.900430094	571211.324158889	"2320"	"Genova"	618048	"IT006L2"	"Genova"	738203	1	1	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_86"	"JobTown 2"	"86"	"Innovative, Practical Approaches to Tackling Youth Unemployment"	"UK"	2016	"Europe"	"Northern Europe"	7	"Urbact III"	"Implementation"	"Collective Form"	"AngloType"	"Collegial Leaders"	"Anglo Saxon"	"UK23"	"2648182"	"Grays"	"seat of a second-order admin. division"	"GB"	"89755"	"E34004978"	"Grays BUA"	63234.8706339229	67979.0204580215	"3776"	"Grays/Tilbury"	87883	"UK001L2"	"London"	11256669	1	1	1	0	0	"3.Medium-sized City"	"2.Between 50 000 and 250 000"
"TexturbactNet_44"	"MAPS"	"44"	" Military Assets as Public Spaces. Redefining the function, social role and accessibility of former military heritage, to promote development, sustainability and inclusiveness."	"IT"	2015	"Europe"	"Southern Europe"	9	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"IT30"	"3171058"	"Piacenza"	"seat of a second-order admin. division"	"IT"	"93228"	"IT033032"	"Piacenza"	98374.116430822	99607.4318802216	"2471"	"Piacenza"	99938.7	"IT033L1"	"Piacenza"	166135	0	1	1	0	1	"3.Medium-sized City"	"2.Between 50 000 and 250 000"
"TexturbactNet_54"	"Procure"	"54"	"Creating a good local economy through procurement"	"UK"	2015	"Europe"	"Northern Europe"	11	"Urbact III"	"Action Planning"	"Collective Form"	"AngloType"	"Collegial Leaders"	"Anglo Saxon"	"UK21"	"2639912"	"Preston"	"seat of a second-order admin. division"	"GB"	"313332"	"E34005039"	"Preston BUA"	217343.082438281	228140.570196339	"3936"	"Preston"	289299	"UK562L1"	"Preston"	345657	1	1	0	0	0	"2.Large City"	"2.Between 50 000 and 250 000"
"TexturbactNet_57"	"REFILL"	"57"	"Reuse of vacant spaces as driving Force for Innovation on Local level"	"BE"	2015	"Europe"	"Western Europe"	10	"Urbact III"	"Action Planning"	"Collective Form"	"FrancoType"	"Collegial Leaders"	"Continental European Napoleonic"	"BE5"	"2797656"	"Gent"	"populated place"	"BE"	"231493"	"BE44021"	"Gent / Gand"	232235.732765182	249143.555022553	"63"	"Brussels"	4376050	"BE003L2"	"Gent"	555672	1	1	0	0	0	"2.Large City"	"2.Between 50 000 and 250 000"
"TexturbactNet_60"	"RESILIENT EUROPE"	"60"	"Urban resilience a concept for co-creating cities of the future"	"NL"	2015	"Europe"	"Western Europe"	11	"Urbact III"	"Action Planning"	"Collective Form"	"North-Middle European Group"	"Collegial Leaders"	"Nordic"	"NL12"	"2747891"	"Rotterdam"	"populated place"	"NL"	"598199"	"NLGM0599"	"Rotterdam"	590647.185857166	600064.167097877	"2825"	"Rotterdam"	1109250	"NL003L2"	"Rotterdam"	1392683	0	1	1	1	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_61"	"RetaiLink"	"61"	"Ten european cities inspire each other to create innovative strategies that revitalize the retail sector in medium-sized cities."	"ES"	2015	"Europe"	"Southern Europe"	10	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"ES21"	"3120431"	"Igualada"	"populated place"	"ES"	"38918"	"ES08102"	"Igualada"	32592.6173984003	35160.8774177095	"1287"	"Igualada"	60580.1	"Outside"	"Outside"	NA	0	1	0	0	0	"4.Small City"	"3. Less than 50 000"
"TexturbactNet_65"	"SMARTImpact"	"65"	"Local Impacts from Smart City Planning"	"UK"	2015	"Europe"	"Northern Europe"	10	"Urbact III"	"Action Planning"	"Collective Form"	"AngloType"	"Collegial Leaders"	"Anglo Saxon"	"UK18"	"2643123"	"Manchester"	"seat of a second-order admin. division"	"GB"	"395515"	"E34005054"	"Greater Manchester BUA"	2039379.41298776	2149764.71918893	"3781"	"Greater Manchester"	3792250	"UK008L2"	"Manchester"	2642015	1	0	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_88"	"Stay Tuned"	"88"	"Boosting the Frequency of Qualification"	"BE"	2016	"Europe"	"Western Europe"	9	"Urbact III"	"Implementation"	"Collective Form"	"FrancoType"	"Collegial Leaders"	"Continental European Napoleonic"	"BE5"	"2797656"	"Gent"	"populated place"	"BE"	"231493"	"BE44021"	"Gent / Gand"	232235.732765182	249143.555022553	"63"	"Brussels"	4376050	"BE003L2"	"Gent"	555672	1	0	1	0	0	"2.Large City"	"2.Between 50 000 and 250 000"
"TexturbactNet_66"	"sub>urban"	"66"	"sub>urban. Reinventing the fringe"	"BE"	2015	"Europe"	"Western Europe"	9	"Urbact III"	"Action Planning"	"Collective Form"	"FrancoType"	"Collegial Leaders"	"Continental European Napoleonic"	"BE2"	"2803138"	"Antwerpen"	"populated place"	"BE"	"459805"	"BE11002"	"Antwerpen / Anvers"	459600.079494523	497848.152800225	"63"	"Brussels"	4376050	"BE002L2"	"Antwerpen"	1014444	0	0	0	1	1	"2.Large City"	"1. More than 250 000"
"TexturbactNet_70"	"TechTown"	"70"	"A digital City Future - Adapt or Die"	"UK"	2015	"Europe"	"Northern Europe"	11	"Urbact III"	"Action Planning"	"Collective Form"	"AngloType"	"Collegial Leaders"	"Anglo Saxon"	"UK2"	"2656284"	"Barnsley"	"seat of a second-order admin. division"	"GB"	"71447"	"E34004869"	"Barnsley/Dearne Valley BUA"	140671.440729987	145283.131688075	"3718"	"Dearne Valley"	140797	"UK519L0"	"Barnsley"	222520	0	1	0	0	0	"3.Medium-sized City"	"2.Between 50 000 and 250 000"
"TexturbactNet_76"	"Urban Green Labs"	"76"	"Promoting citizens engagement in upgrading urban green spaces"	"HU"	2015	"Europe"	"Eastern Europe"	9	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"East-Central European Group"	"Executive Mayors"	"Central Eastern European"	"HU1"	"3054643"	"Budapest"	"capital of a political entity"	"HU"	"1741041"	"HU-BU"	"Budapest"	1693425.65314213	1730696.6718231	"1999"	"Budapest"	2057700	"HU001L2"	"Budapest"	2809709	1	0	0	1	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_80"	"VITAL CITIES"	"80"	"Urban sports promotion for social inclusion, healthy and active living"	"PT"	2015	"Europe"	"Southern Europe"	10	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"PT14"	"2266988"	"Loule"	"seat of a second-order admin. division"	"PT"	"23109"	"PT0808"	"Loulé"	62119.8761859715	68506.7154154858	"Outside"	"Outside"	NA	"Outside"	"Outside"	NA	0	1	1	0	0	"3.Medium-sized City"	"2.Between 50 000 and 250 000"
"TexturbactNet_2"	"4D Cities"	"2"	"Promoting innovation and the knowledge economy in health field for the local social and economic development."	"ES"	2013	"Europe"	"Southern Europe"	8	"Urbact II"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"ES21"	"3120431"	"Igualada"	"populated place"	"ES"	"38918"	"ES08102"	"Igualada"	32592.6173984003	35160.8774177095	"1287"	"Igualada"	60580.1	"Outside"	"Outside"	NA	1	1	0	0	0	"4.Small City"	"3. Less than 50 000"
"TexturbactNet_3"	"Active A.G.E"	"3"	"Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues."	"IT"	2008	"Europe"	"Southern Europe"	9	"Urbact II"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"IT36"	"3169070"	"Rome"	"capital of a political entity"	"IT"	"2318895"	"IT058091"	"Roma"	2545174.9385114	2623120.45019648	"2514"	"Roma"	2686600	"IT001L2"	"Roma"	3850688	1	1	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_4"	"Active Travel Network"	"4"	"The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems."""	"AT"	2009	"Europe"	"Western Europe"	7	"Urbact II"	"Action Planning"	"Strong Mayor Form"	"North-Middle European Group"	"Executive Mayors"	"Continental European Federal"	"AT5"	"2761531"	"Weiz"	"seat of other admin. division"	"AT"	"9221"	"AT61766"	"Weiz"	10173.7768904776	10299.2216162328	"51"	"Weiz"	13574	"Outside"	"Outside"	NA	0	0	1	1	0	"4.Small City"	"3. Less than 50 000"
"TexturbactNet_8"	"Building Healthy Communities"	"8"	"Health is important for the wellbeing of individuals and society, but a healthy population is also a prerequisite for economic productivity and prosperity. The Lisbon strategy underlines the importance of health as a key factor for economic growth. However there is a limited awareness of the contributions that a \\""healthy\\"" urban policy can make to tackle challenges in health."	"IT"	2008	"Europe"	"Southern Europe"	10	"Urbact II"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"IT41"	"3165524"	"Turin"	"seat of a first-order admin. division"	"IT"	"870456"	"IT001272"	"Torino"	888455.602470285	875775.698639263	"2605"	"Torino"	1311880	"IT004L2"	"Torino"	1754424	0	0	1	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_9"	"CASH, Cities Action for Sustainable Housing Results"	"9"	"Propose new solutions and promote new policies for the sustainable renovation of social and affordable housing units in the European Union."	"FR"	2009	"Europe"	"Western Europe"	10	"Urbact II"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"FR12"	"3020495"	"Echirolles"	"populated place"	"FR"	"33088"	"FR38151"	"Échirolles"	32985.4296175082	33800.3554813609	"1672"	"Grenoble"	402811	"FR026L2"	"Grenoble"	633003	0	0	0	1	1	"4.Small City"	"3. Less than 50 000"
"TexturbactNet_12"	"CityLogo"	"12"	"CityLogo is a transnational learning experience on citybranding and -marketing in modern urban politics. It is about a better positioning of cities in the (post) crisis economic arena and reinforcing the communication dimension in urban management."	"NL"	2013	"Europe"	"Western Europe"	10	"Urbact II"	"Action Planning"	"Collective Form"	"North-Middle European Group"	"Collegial Leaders"	"Nordic"	"NL14"	"2745912"	"Utrecht"	"seat of a first-order admin. division"	"NL"	"290529"	"NLGM0344"	"Utrecht"	283979.243709562	314285.054461345	"2847"	"Utrecht"	484631	"NL004L2"	"Utrecht"	679081	1	1	0	0	0	"2.Large City"	"1. More than 250 000"
"TexturbactNet_14"	"CityRegion.Net"	"14"	"Develop new structures and tools that make it possible to improve collaboration on the \\""city-region\\"" level."	"AT"	2008	"Europe"	"Western Europe"	9	"Urbact II"	"Action Planning"	"Strong Mayor Form"	"North-Middle European Group"	"Executive Mayors"	"Continental European Federal"	"AT1"	"2778067"	"Graz"	"seat of a first-order admin. division"	"AT"	"222326"	"AT60101"	"Graz"	246430.023980805	260663.37008828	"13"	"Graz"	307974	"AT002L2"	"Graz"	589869	1	1	0	0	0	"2.Large City"	"1. More than 250 000"
"TexturbactNet_15"	"CoNet"	"15"	"Exploring current approaches to strengthen social cohesion in neighbourhoods"	"DE"	2008	"Europe"	"Western Europe"	11	"Urbact II"	"Action Planning"	"Strong Mayor Form"	"North-Middle European Group"	"Executive Mayors"	"Continental European Federal"	"DE3"	"2950159"	"Berlin"	"capital of a political entity"	"DE"	"3426354"	"DE11000000"	"Berlin, Stadt"	3349044.4640356	3270478.13039705	"369"	"Berlin"	3702370	"DE001L1"	"Berlin"	4980394	1	0	1	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_16"	"Creative Clusters"	"16"	"The starting assumption of the project is that creativity can act as a driving force for economic development of small urban centres and not only of big cities. Thus, the main value-added that the work of the Creative Clusters network can produce is to transfer the""creative city model' (too much focused on big and middle-sized metropolis) to low density urban areas. In other words, to transfer a range of so far considered urban attributes (accessibility, cultural life, technological facilities, competitive clusters, global networking, etc.) to middle-sized and small towns."	"PT"	2008	"Europe"	"Southern Europe"	9	"Urbact II"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"PT13"	"2267057"	"Lisbon"	"capital of a political entity"	"PT"	"517802"	"PT1106"	"Lisboa"	525157.534113072	558683.345943275	"3224"	"Lisboa // Sintra"	1851170	"PT001L2"	"Lisboa"	2785724	1	1	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_17"	"Creative SpIN"	"17"	"Creative \\""Spillovers\\"" for Innovation aims to create a Thematic Network across Europe which will address the challenges of how best to connect cultural and creative industries, including sectors such as audiovisual, design, advertising, architecture and video games, with other sectors, to stimulate the effects of \\""spill over\\""."	"UK"	2013	"Europe"	"Northern Europe"	9	"Urbact II"	"Action Planning"	"Collective Form"	"AngloType"	"Collegial Leaders"	"Anglo Saxon"	"UK5"	"2655603"	"Birmingham"	"seat of a second-order admin. division"	"GB"	"984333"	"E34005001"	"West Midlands BUA"	2107878.60974426	2228277.46988309	"4039"	"West Midlands"	2458250	"UK002L2"	"West Midlands urban area"	2730527	1	1	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_18"	"CSI Europe"	"18"	"The aim of the JESSICA initiative is to support""sustainable investment in cities'. Through the implementation of the initiative, Urban Development Funds are emerging as potentially powerful tools to pursue sustainable urban transformation. CSI Europe will build upon the achievements to date to improve the effectiveness of current delivery and future potential."	"UK"	2013	"Europe"	"Northern Europe"	10	"Urbact II"	"Action Planning"	"Collective Form"	"AngloType"	"Collegial Leaders"	"Anglo Saxon"	"UK18"	"2643123"	"Manchester"	"seat of a second-order admin. division"	"GB"	"395515"	"E34005054"	"Greater Manchester BUA"	2039379.41298776	2149764.71918893	"3781"	"Greater Manchester"	3792250	"UK008L2"	"Manchester"	2642015	1	0	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_19"	"CTUR"	"19"	"Cruise activity and the recovery of urban and harbour building heritage: Strong elements of the common interest of sea towns to develop and strengthen the urban tourism sector."	"IT"	2009	"Europe"	"Southern Europe"	9	"Urbact II"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"IT23"	"3172394"	"Naples"	"seat of a first-order admin. division"	"IT"	"959470"	"IT063049"	"Napoli"	964133.290145843	954947.532346521	"2430"	"Napoli"	2435950	"IT003L2"	"Napoli"	3554343	1	1	0	0	1	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_20"	"Diet for a Green Planet"	"20"	"Food and agriculture accounts for a key part of global environmental challenges including climate change, biodiversity, nitrogen and phosphorus. Diet for a Green Planet is a way for every person who eats food to engage and become part of the solution."	"SE"	2013	"Europe"	"Northern Europe"	4	"Urbact II"	"Transfer"	"Committee Leader Form"	"North-Middle European Group"	"Collegial Leaders"	"Nordic"	"SE10"	"2676176"	"Soedertaelje"	"seat of a second-order admin. division"	"SE"	"70777"	"SE0181"	"Södertälje"	80847.888297641	88459.3951157805	"3469"	"Sodertalje"	86246	"SE001L1"	"Stockholm"	1911444	0	1	0	1	0	"3.Medium-sized City"	"2.Between 50 000 and 250 000"
"TexturbactNet_21"	"EGTC"	"21"	"The first objective of the EGTC URBACT project is to promote the development of cross-border urban development strategy."	"FR"	2008	"Europe"	"Western Europe"	7	"Urbact II"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"FR26"	"2988507"	"Paris"	"capital of a political entity"	"FR"	"2138551"	"FR75056"	"Paris"	2249586.96881284	2315719.33429747	"1777_1"	"Paris"	10416100	"FR001L1"	"Paris"	11370846	1	0	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_22"	"ENTER.HUB"	"22"	"ENTER.HUB promotes the role of railway hubs/multimodal interfaces of regional relevance in medium cities as engines for integrated urban development and economic, social and cultural regeneration."	"IT"	2013	"Europe"	"Southern Europe"	12	"Urbact II"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"IT34"	"3169522"	"Reggio nell'Emilia"	"seat of a second-order admin. division"	"IT"	"133296"	"IT035033"	"Reggio nell'Emilia"	157595.61350639	162876.109820473	"2506"	"Reggio nell'Emilia"	160425	"IT505L2"	"Reggio nell'Emilia"	246051	1	1	0	0	1	"2.Large City"	"2.Between 50 000 and 250 000"
"TexturbactNet_23"	"ESIMeC"	"23"	"Economic Strategies and Innovation in Medium-Sized Cities. How medium sized cities can generate new employment opportunities, prepare workers for jobs, and address mismatches between the supply of labour and demand for workers"	"UK"	2009	"Europe"	"Northern Europe"	8	"Urbact II"	"Action Planning"	"Collective Form"	"AngloType"	"Collegial Leaders"	"Anglo Saxon"	"UK3"	"2656192"	"Basingstoke"	"populated place"	"GB"	"107642"	"E34005009"	"Basingstoke BUA"	80337.8111233274	85483.7533503926	"3602"	"Basingstoke/Basing"	99550	"UK548L0"	"Basingstoke and Deane"	158926	1	1	0	0	0	"3.Medium-sized City"	"2.Between 50 000 and 250 000"
"TexturbactNet_24"	"ESIMeC II"	"24"	"Explores how demand-led workforce development strategies can be used as instruments of sustainable economic recovery in medium sized cities"	"UK"	2013	"Europe"	"Northern Europe"	5	"Urbact II"	"Action Planning"	"Collective Form"	"AngloType"	"Collegial Leaders"	"Anglo Saxon"	"UK3"	"2656192"	"Basingstoke"	"populated place"	"GB"	"107642"	"E34005009"	"Basingstoke BUA"	80337.8111233274	85483.7533503926	"3602"	"Basingstoke/Basing"	99550	"UK548L0"	"Basingstoke and Deane"	158926	1	1	0	0	0	"3.Medium-sized City"	"2.Between 50 000 and 250 000"
"TexturbactNet_25"	"EUniverCities"	"25"	"Improve the university-city nexus. By applying to the URBACT programme, they want to learn from each other's experiences and practices, and move forward as successful and inclusive knowledge cities to realise Europe's 2020 strategy"	"NL"	2013	"Europe"	"Western Europe"	10	"Urbact II"	"Action Planning"	"Collective Form"	"North-Middle European Group"	"Collegial Leaders"	"Nordic"	"NL6"	"2757345"	"Delft"	"populated place"	"NL"	"95060"	"NLGM0503"	"Delft"	95459.7974087475	97073.4633662587	"2688"	"'s-Gravenhage"	729961	"NL017L1"	"Delft"	114035	1	1	0	0	0	"3.Medium-sized City"	"2.Between 50 000 and 250 000"
"TexturbactNet_26"	"EVUE"	"26"	"Electric Vehicles in Urban Europe focuses on the development of integrated, sustainable strategies and dynamic leadership techniques for cities to promote the use of electric vehicles."	"UK"	2009	"Europe"	"Northern Europe"	9	"Urbact II"	"Action Planning"	"Collective Form"	"AngloType"	"Collegial Leaders"	"Anglo Saxon"	"UK17"	"2643743"	"London"	"capital of a political entity"	"GB"	"7556900"	"E34004707"	"Greater London BUA"	8313042.53789679	9000768.90844429	"3780"	"Great London"	9423910	"UK001L2"	"London"	11256669	1	0	0	1	0	"1.Very Large City"	"1. More than 250 000"
